title	score	num_comm	created	content
Climate activist Greta Thunberg joins campaign to release Hong Kong fugitives detained in China	15186	1355	2020-10-19 10:17:01	
Anger sparks as Tokyo politician claims “legally protecting lesbians and gays will ruin district.”	15075	717	2020-10-11 18:33:58	
Block China’s seat on human rights council over Uighurs, urges Lisa Nandy	14796	448	2020-10-10 21:20:03	
Russia Seizes Kremlin Critic Navalny’s Apartment - The Moscow Times	14772	505	2020-09-24 18:51:16	
Facebook bans all QAnon groups as dangerous amid surging misinformation	14512	1098	2020-10-07 01:17:51	
Close to 100% accuracy: Helsinki airport uses sniffer dogs to detect Covid	14360	382	2020-09-24 15:43:04	
Missing Hong Kong protester Alexandra Wong 'was held in mainland China'	14371	356	2020-10-17 18:52:17	
Mass Sea Animal Deaths Raise Alarms For Possible Ecological Catastrophe in Russia	14117	519	2020-10-05 22:25:52	
"China tells Indian media not to call Taiwan a country, Taiwan says ""get lost"""	13978	972	2020-10-08 14:53:42	
Canada's bill to outlaw LGBTQ2 conversion therapy has global influence: UN expert	18101	916	2020-10-22 01:26:17	
Trudeau pledges tax on 'extreme wealth inequality' to fund Covid spending plan	13672	702	2020-09-24 03:45:21	
Sri Lanka returns containers of illegal waste to Britain: Customs	13582	397	2020-09-27 19:09:44	
Trump tweet gave Taliban upper hand in negotiations: Afghan peace official tells Financial Times	13420	618	2020-10-15 17:28:13	
Palestinian premier: 'God help us' if Trump wins re-election	13251	1649	2020-10-13 20:38:27	
Olympian gymnast reportedly rumored to have had twins with Putin vanishes	13185	478	2020-10-08 15:05:23	
Anonymous hacks 83 websites belonging to Azerbaijani government in support of Armenia	12914	610	2020-10-03 20:19:31	
80 million gallons of oil, larger than Exxon spill, dangerously close to pouring into Caribbean	12772	686	2020-10-19 10:53:32	
18,000 elderly people have died of COVID-19 in British care homes and now Boris Johnson's government is being accused of human rights abuse	12628	321	2020-10-11 18:22:46	
Golden Dawn leadership sentenced to 13 years in prison	12594	527	2020-10-14 15:01:17	
Trudeau says government is braced for 'disruptions' in event of unclear U.S. election result | CBC News	12296	1308	2020-10-08 22:21:19	
US flag burned as Greeks protest Pompeo's visit	12288	1355	2020-09-29 13:18:02	
New Zealand health experts back reform of 'outdated' cannabis laws	11984	360	2020-10-12 01:22:31	
Boris Johnson has ‘zero plans’ to tackle impacts of racism, warns ousted government adviser	11938	717	2020-10-10 23:26:04	
Lukashenko abruptly sworn in, Belarus opposition calls for more protests	11793	344	2020-09-23 17:07:33	
Trudeau and Trump are worlds apart on the Canada-U.S. border closure | CBC News	11479	1141	2020-10-18 17:26:45	
The British government is planning to enforce a total social lockdown across a majority of northern Britain and potentially London, to combat a second wave of COVID-19	11391	1409	2020-09-28 03:14:13	
A rare Halloween Blue Moon will light up the scariest night of the year	11013	313	2020-10-03 11:46:51	
Chinese military beefs up coastal forces as it prepares for possible invasion of Taiwan	11018	2041	2020-10-18 05:23:58	
US spies and diplomats are suggesting a Trump administration cover-up after officials in Cuba, Russia, and China got mysteriously sick	10386	529	2020-10-20 22:31:46	
The Kremlin Is Increasingly Alarmed at the Prospect of a Biden Win	10318	1600	2020-09-26 18:58:01	
In Iowa, Trump praises the intelligence of Kim Jong Un, Vladimir Putin	10250	784	2020-10-15 10:33:50	
Egypt unearths 59 ancient coffins buried more than 2,600 years ago near Saqqara pyramids	10059	478	2020-10-03 21:18:38	
Russia spreads fake news over Oxford virus vaccine (including claims UK Covid Vaccine Will turn you into monkey)	9898	700	2020-10-16 17:27:31	
Defying protest ban, thousands of Israelis demonstrate against Israeli prime minister	9874	360	2020-10-04 01:29:52	
Dinosaur skeleton found by Canadian 12-year-old near Drumheller, Alta., hailed as 'significant discovery	9830	314	2020-10-16 16:00:20	
